Bug_id,Individual Step,Quality Labels,Path Sentences
471,Save the record,"['EM', 'MS']","click the ""save"" text view"
471,,,"click the ""create transaction"" image view"
471,Cancel it,['VM'],
471,Leave the account,"['EM', 'MS']","click the ""navigate up"" image button"
471,,,"click the ""create transaction"" image view"
471,,,"type the ""input transaction amount"" edit text"
471,,,"click the ""save"" text view"
471,,,click action bar$tab
471,,,"click the ""navigation drawer opened"" image button"
471,,,"click the ""settings"" text view"
471,Open the account again,"['EM', 'MS']","click the ""accounts"" text view"
,,,
615,,,open app
615,,,"click the ""next"" button"
615,,,"click the ""next"" button"
615,,,"click the ""next"" button"
615,,,"click the ""next"" button"
615,,,"click the ""done"" button"
615,,,"click the ""allow"" button"
615,,,"click the ""navigation drawer opened"" image button"
615,,,click action bar$tab
615,,,"click the ""manage books…"" text view"
615,Create a new book,"['EM', 'MS']","click the ""menu create book"" text view"
615,,,"click the ""navigation drawer opened"" image button"
615,,,click action bar$tab
615,Manage books,"['EM', 'MS']","click the ""manage books…"" text view"
,,,
616,,,open app
616,,,"click the ""next"" button"
616,,,"click the ""next"" button"
616,,,"click the ""next"" button"
616,,,"click the ""next"" button"
616,,,"click the ""done"" button"
616,,,"click the ""allow"" button"
616,,,click relative layout
616,,,click relative layout
616,,,"click the ""navigation drawer opened"" image button"
616,Select Export from left tray,"['EM', 'MS']","click the ""export…"" checked text view"
616,,,"click the ""sd card"" text view"
616,Select export to Google Drive,"['EM', 'MS']","click the ""google drive"" checked text view"
616,,,"click the ""back modal"" key button view"
616,Select format QIF,"['EM', 'MS']","click the ""qif"" radio button"
616,Select default value for Since,['VM'],
616,Check Delete transactions after export,['EM'],"click the ""delete transactions after export"" check box"
616,Tap EXPORT,['EM'],"click the ""export"" text view"
,,,
618,,,open app
618,,,"click the ""next"" button"
618,,,"click the ""next"" button"
618,,,"click the ""next"" button"
618,,,"click the ""next"" button"
618,,,"click the ""done"" button"
618,,,"click the ""allow"" button"
618,,,click relative layout
618,,,click relative layout
618,,,"click the ""navigation drawer opened"" image button"
618,Select format in Export,"['EM', 'MS']","click the ""export…"" checked text view"
618,Select target in Export,['EM'],"click the ""spinner export destination"" spinner"
618,,,"click the ""own cloud"" checked text view"
618,,,"click the ""cancel"" button"
618,Check Delete transactions after export option,"['EM', 'MS']","click the ""delete transactions after export"" check box"
,,,
620,,,open app
620,,,"click the ""next"" button"
620,,,"click the ""next"" button"
620,,,"click the ""next"" button"
620,,,"click the ""next"" button"
620,,,"click the ""done"" button"
620,,,"click the ""allow"" button"
620,,,"click the ""options menu"" image view"
620,,,"click the ""edit account"" text view"
620,Set color of an account,"['EM', 'MS']","click the ""input color picker"" quick contact badge"
620,,,"click the ""color picker swatch"" image view"
620,,,"click the ""save"" text view"
620,,,"click the ""options menu"" image view"
620,Edit the account,"['EM', 'MS']","click the ""edit account"" text view"
620,Press save,['EM'],"click the ""save"" text view"
,,,
633,,,open app
633,,,"click the ""next"" button"
633,,,"click the ""next"" button"
633,,,"click the ""next"" button"
633,,,"click the ""next"" button"
633,,,"click the ""done"" button"
633,,,"click the ""allow"" button"
633,,,click relative layout
633,,,click relative layout
633,,,"click the ""navigation drawer opened"" image button"
633,,,"click the ""help & feedback"" checked text view"
633,Open one of the reports,"['EM', 'MS']","click the ""navigate up"" image button"
633,Turn the phone to change the screen orientation,['VM'],
,,,
663,,,open app
663,,,"click the ""next"" button"
663,,,"click the ""next"" button"
663,,,"click the ""next"" button"
663,,,"click the ""next"" button"
663,,,"click the ""done"" button"
663,,,"click the ""allow"" button"
663,Create an account with BYN currency,"['AS', 'MS']","click the ""fab create account"" image button"
663,Hit Save,['EM'],"click the ""save"" text view"
,,,
699,,,open app
699,,,"click the ""next"" button"
699,,,"click the ""next"" button"
699,,,"click the ""next"" button"
699,,,"click the ""next"" button"
699,,,"click the ""done"" button"
699,,,"click the ""dismiss"" button"
699,Click on existing transaction,"['EM', 'MS']","click the ""account recycler view"" recycler view"
699,Click on edit transaction FAB,['EM'],"click the ""create transaction"" image view"
699,Click on splits icon,['EM'],"click the ""btn split editor"" image view"
699,Add a split,['EM'],"click the ""menu add split"" text view"
699,Click save,['EM'],"click the ""save"" text view"
699,Click save again,['EM'],"click the ""save"" text view"
,,,
701,,,open app
701,,,"click the ""next"" button"
701,,,"click the ""next"" button"
701,,,"click the ""next"" button"
701,,,"click the ""next"" button"
701,,,"click the ""done"" button"
701,,,"click the ""dismiss"" button"
701,Click on transaction,"['EM', 'MS']","click the ""account recycler view"" recycler view"
701,,,"click the ""account recycler view"" recycler view"
701,,,"click the ""account recycler view"" recycler view"
701,,,"click the ""transaction recycler view"" recycler view"
701,Click on edit FAB button,"['EM', 'MS']","click the ""fab edit transaction"" image button"
701,Click on split icon,['EM'],"click the ""btn split editor"" image view"
701,Add memo to splits,['AS'],"type the ""input split memo"" edit text"
701,Click save,['EM'],"click the ""save"" text view"
701,Click save again,['EM'],"click the ""save"" text view"
701,Click on edit FAB button,['EM'],"click the ""fab edit transaction"" image button"
701,Click on split icon,['EM'],"click the ""btn split editor"" image view"
,,,
154,,,open app
154,,,"click the ""ok"" button"
154,Add some favorites to the app,"['EM', 'MS']","click the ""item starred list"" text view"
154,,,click linear layout
154,,,"click the ""navigate up"" image button"
154,Go into favorites section,"['EM', 'MS']","click the ""item starred list"" text view"
154,,,click linear layout
154,,,"click the ""navigate up"" image button"
154,Select an event from the list,"['EM', 'MS']",click linear layout
154,,,"click the ""item set alarm"" text view"
154,,,"click the ""ok"" button"
154,,,"click the ""item fav"" text view"
154,Hit BACK button to return to favorites section,"['EM', 'MS']","click the ""back"" image view"
,,,
169,,,open app
169,,,"click the ""ok"" button"
169,Long click item in list,"['EM', 'MS']",long click linear layout
169,Change orientation,['VM'],
