FIlenames,Bug_id,S2Rs,Individual Step,Quality Labels,Interaction in Natural Language
gnucash-android#2.0.4_471.xml,471,,Cancel it,VM,"The term ""cancel"" does not match an action performed on the app."
gnucash-android#2.0.4_471.xml,471,"1.3: It show up again, when you leave the account and open it again.",Leave account,EM,Tap the back button
gnucash-android#2.0.4_471.xml,471,,Open it,VM,"The term ""it"" does not match a GUI component from the app."
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (USD)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Automatically send crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Done)"" button"
,,,,,"Tap the ""Navigation drawer opened"" image button"
gnucash-android#2.1.1_615.xml,615,1.2: 1. Create a new book.,Create new book,"EM, MS","Tap the ""book name (Book 1)"" text view"
gnucash-android#2.1.1_615.xml,615,1.3: 2. Manage books...,Manage books,EM,"Tap the ""title (Manage Books…)"" text view"
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""text 1 (Disable crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""Navigation drawer opened"" image button"
gnucash-android#2.1.3_616.xml,616,"2.2: 1. Select ""Export..."" from left tray","Select ""Export..."" from left tray","EM, MS","Tap the ""design menu item text (Export…)"" checked text view"
gnucash-android#2.1.3_616.xml,616,"2.3: 2. Select export to ""Google Drive"", format QIF, default value for ""Since""","Select export to ""Google Drive""",VM,"The term ""export to ""Google Drive"""" does not match a GUI component from the app."
gnucash-android#2.1.3_616.xml,616,"2.4: 3. Check ""Delete transactions after export""","Check ""Delete transactions after export""",EM,"Tap the ""checkbox post export delete (Delete transactions after export)"" check box"
gnucash-android#2.1.3_616.xml,616,"2.5: 4. Tap ""EXPORT""","Tap ""EXPORT""",EM,"Tap the ""menu save (Export)"" text view"
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""text 1 (Disable crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""Navigation drawer opened"" image button"
gnucash-android#2.1.3_618.xml,618,1.2: Export with:,Export,"EM, MS","Tap the ""design menu item text (Export…)"" checked text view"
,,1.3: - format: QIF or OFX,,,
,,"1.4: - target: DropBox, Google Drive or ownCloud",,,
gnucash-android#2.1.3_618.xml,618,1.5: - check Delete transactions after export option,"Check ""Delete transactions after export"" option",EM,"Tap the ""checkbox post export delete (Delete transactions after export)"" check box"
gnucash-android#2.1.3_618.xml,618,,Make file to target,VM,"The term ""make"" does not match an action performed on the app."
,,,,,
gnucash-android#2.1.3_620.xml,620,1.2: 1. Set the color of an account,Set color of account,AS,"This S2R matches multiple GUI components (e.g., the ""account color strip"" view or the ""account color strip"" view or the ""account color strip"" view) and multiple actions (e.g., ""click"" or ""type"")."
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""text 1 (Disable crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Done)"" button"
gnucash-android#2.1.3_620.xml,620,1.3: 2. Edit the account.,Edit account,"EM, MS","Tap the ""Accounts"" text view"
,,,,,"Tap the ""fab create account"" image button"
gnucash-android#2.1.3_620.xml,620,1.4: 3. Press save,Press save,"EM, MS","Tap the ""menu save (Save)"" text view"
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""text 1 (Disable crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Done)"" button"
,,,,,"Tap the ""Navigation drawer opened"" image button"
gnucash-android#2.1.3_633.xml,633,"1.2: 1. Open one of the reports (pie chart, line chart, bar chart or sheet).",Open reports,"EM, MS","Tap the ""design menu item text (Reports)"" checked text view"
gnucash-android#2.1.3_633.xml,633,1.3: 2. Turn the phone to change the screen orientation.,Turn phone,EM,Rotate the screen
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""text 1 (Disable crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
gnucash-android#2.1.3_663.xml,663,1.2: 1. Create an account with BYN currency.,Create account with BYN currency,"EM, MS","Tap the ""fab create account"" image button"
,,,,,"Tap the ""input account name"" text field"
,,,,,"Type a valid input (e.g., 1) on the ""input account name"" text field"
,,,,,"Tap the ""input account description"" text field"
,,,,,"Type a valid input (e.g., 2) on the ""input account description"" text field"
,,,,,"Tap the ""checkbox placeholder account (Placeholder account)"" check box"
gnucash-android#2.1.3_663.xml,663,1.3: 2. Hit Save.,Hit Save,"EM, MS","Tap the ""menu save (Save)"" text view"
,,,,,
gnucash-android#2.2.0_699.xml,699,1.2: 1. Click on existing transaction,Click on existing transaction,VM,"The term ""on existing transaction"" does not match a GUI component from the app."
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (USD)"" checked text view"
,,,,,"Tap the ""btn cancel (Back)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Create default accounts)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Automatically send crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Done)"" button"
,,,,,"Tap the ""alert Title (What's New - v2.2.0)"" text view"
,,,,,"Tap the ""title Divider"" view"
,,,,,"Tap the ""scroll View"" scroll view"
,,,,,"Tap the ""message (- Added ability to export to any service which ...)"" text view"
,,,,,"Tap the ""button 1 (Dismiss)"" button"
,,,,,"Tap the ""Accounts"" text view"
,,,,,"Tap the ""tab layout"" horizontal scroll view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""secondary text (1 sub-account)"" text view"
gnucash-android#2.2.0_699.xml,699,1.3: 1. Click on edit transaction FAB,Click on edit transaction FAB,"EM, MS","Tap the ""fab create transaction"" image button"
,,,,,"Tap the ""input account name (Bonus)"" text field"
,,,,,"Type a valid input (e.g., 1) on the ""input account name"" text field"
,,,,,"Tap the ""input account name"" text field"
,,,,,"Tap the ""input account description"" text field"
,,,,,"Type a valid input (e.g., 2) on the ""input account description"" text field"
,,,,,"Tap the ""checkbox parent account"" check box"
,,,,,"Tap the ""input parent account"" drop down list"
,,,,,"Long tap the ""input parent account"" drop down list"
,,,,,"Tap the ""checkbox default transfer account"" check box"
,,,,,"Tap the ""menu save (Save)"" text view"
,,,,,"Tap the ""tab layout"" horizontal scroll view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""secondary text (1 sub-account)"" text view"
,,,,,"Tap the ""fab create transaction"" image button"
gnucash-android#2.2.0_699.xml,699,1.4: 1. Click on splits icon,Click on splits icon,"EM, MS","Tap the ""btn split editor (Open split editor)"" image view"
,,,,,Tap the list view
,,,,,"Tap the ""input account name (Bonus)"" text field"
,,,,,"Type a valid input (e.g., 1) on the ""input account name"" text field"
,,,,,"Tap the ""input account name"" text field"
,,,,,"Tap the ""input account description"" text field"
,,,,,"Type a valid input (e.g., 2) on the ""input account description"" text field"
,,,,,"Tap the ""checkbox parent account"" check box"
,,,,,"Tap the ""input parent account"" drop down list"
,,,,,"Long tap the ""input parent account"" drop down list"
,,,,,"Tap the ""checkbox default transfer account"" check box"
,,,,,"Tap the ""menu save (Save)"" text view"
,,,,,"Tap the ""tab layout"" horizontal scroll view"
,,,,,"Tap the ""secondary text (1 sub-account)"" text view"
,,,,,"Tap the ""fab create transaction"" image button"
gnucash-android#2.2.0_699.xml,699,1.5: 1. Add a split,Add split,"EM, MS","Tap the ""btn split editor (Open split editor)"" image view"
,,,,,"Tap the ""btn split editor (Open split editor)"" image view"
,,,,,Tap the list view
gnucash-android#2.2.0_699.xml,699,"1.6: 1. Click ""save""","Click ""save""","EM, MS","Tap the ""menu save (Save)"" text view"
,,,,,"Tap the ""input transaction name (Description)"" text field"
,,,,,"Type a valid input (e.g., 5) on the ""input transaction name (Description)"" text field"
,,,,,"Tap the ""input transaction amount (Amount)"" text field"
,,,,,"Tap the ""btn split editor (Open split editor)"" image view"
,,,,,"Tap the ""btn split editor (Open split editor)"" image view"
,,,,,Tap the list view
gnucash-android#2.2.0_699.xml,699,"1.7: 1. Click ""save"" again","Click ""save""","EM, MS","Tap the ""menu save (Save)"" text view"
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (USD)"" checked text view"
,,,,,"Tap the ""btn cancel (Back)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Create default accounts)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Automatically send crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""button 1 (Dismiss)"" button"
,,,,,"Tap the ""Navigation drawer opened"" image button"
gnucash-android#2.2.0_701.xml,701,1.2: 1. Click on transaction,Click on transaction,"EM, MS","Tap the ""Transactions"" text view"
gnucash-android#2.2.0_701.xml,701,1.3: 1. Click on edit FAB button,Click on edit FAB button,EM,"Tap the ""Transactions"" text view"
gnucash-android#2.2.0_701.xml,701,1.4: 1. Click on split icon,Click on split icon,VM,"The term ""on split icon"" does not match a GUI component from the app."
gnucash-android#2.2.0_701.xml,701,1.5: 1. Add memo to 1 or more splits,Add memo to splits,AS,"This S2R matches multiple actions (e.g., ""click"" or ""type"")."
,,,,,Tap the view
,,,,,"Tap the ""Preferences"" text view"
,,,,,"Tap the ""drawer title (GnuCash)"" text view"
,,,,,"Tap the ""toolbar"" view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""options menu"" image view"
,,,,,"Tap the ""Delete"" view"
gnucash-android#2.2.0_701.xml,701,"1.6: 1. Click ""save""","Click ""save""","EM, MS","Tap the ""btn save (Delete)"" button"
,,,,,"Tap the ""options menu"" image view"
,,,,,"Tap the ""Delete"" view"
gnucash-android#2.2.0_701.xml,701,"1.7: 1. Click ""save"" again","Click ""save""","EM, MS","Tap the ""btn save (Delete)"" button"
,,,,,"Tap the ""options menu"" image view"
,,,,,"Tap the ""Delete"" view"
,,,,,"Tap the ""btn save (Delete)"" button"
,,,,,"Long tap the ""menu search (Search)"" text view"
,,,,,Tap the action bar $ tab
,,,,,Tap the action bar $ tab
,,,,,Tap the action bar $ tab
,,,,,Tap the action bar $ tab
,,,,,"Tap the ""toolbar"" view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""Navigation drawer opened"" image button"
gnucash-android#2.2.0_701.xml,701,1.8: 1. Click on edit FAB button,Click on edit FAB button,"EM, MS","Tap the ""Transactions"" text view"
,,,,,"Tap the ""tab layout"" horizontal scroll view"
,,,,,"Tap the ""title (Book 1)"" text view"
,,,,,Tap the view
,,,,,"Tap the ""Transactions"" text view"
,,,,,Tap the view
,,,,,"Tap the ""Preferences"" text view"
,,,,,"Tap the ""drawer title (GnuCash)"" text view"
,,,,,"Tap the ""toolbar"" view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""favorite status"" image view"
,,,,,"Tap the ""secondary text (5 sub-accounts)"" text view"
,,,,,"Tap the ""create transaction"" image view"
gnucash-android#2.2.0_701.xml,701,1.9: 1. Click on split icon,Click on split icon,"EM, MS","Tap the ""btn split editor (Open split editor)"" image view"
,,,,,
,,,,,Tap the image button
,,,,,"Tap the ""Chaos Communication Camp Opening"" view"
schedule-campfahrplan#1.32.2_154.xml,154,1.4: 1. Add some favorites,Add favorites,"EM, MS","Tap the ""item fav (Add to favorites)"" text view"
,,,,,"Tap the ""Navigate up"" image button"
,,,,,Tap the image button
,,,,,Tap the drop down list
,,,,,Tap the list view
schedule-campfahrplan#1.32.2_154.xml,154,1.5: 2. Go into favorites,Go into favorites,"EM, MS","Tap the ""item starred list (Show favorites)"" text view"
schedule-campfahrplan#1.32.2_154.xml,154,1.6: 3. Select an event,Select event,AS,"This S2R matches multiple actions (e.g., ""long click"" or ""click"")."
schedule-campfahrplan#1.32.2_154.xml,154,1.7: 4. In the event details screen: Remove the event from the favorites,Remove event in event details screen,VM,"The term ""event in event details screen"" does not match a GUI component from the app."
schedule-campfahrplan#1.32.2_154.xml,154,1.8: 5. Hit BACK button to return to favorites,Hit BACK button to return,EM,Tap the back button
,,,,,
schedule-campfahrplan#1.32.2_169.xml,169,,Perform sequences of events,VM,"The term ""perform"" does not match an action performed on the app."
,,,,,Tap the image button
,,,,,Tap the drop down list
,,,,,Tap the list view
schedule-campfahrplan#1.32.2_169.xml,169,3.1: 1. Long Click on item in list,Long click on item,"EM, MS","Long tap the ""item refresh (Refresh)"" text view"
schedule-campfahrplan#1.32.2_169.xml,169,3.2: 2. Orientation change,Change orientation,EM,Rotate the screen
